paper_id	paper_title	authors	session	order	note
86	Sources of Noise in Dialogue and How to Deal with Them	Derek Chen and Zhou Yu	Oral Session 1 (5 talks)  Analysis of discourse and dialogue	0	REMOTE
14	Investigating Explicitation of Discourse Connectives in Translation using Automatic Annotations	Frances Yung, Merel Scholman, Ekaterina Lapshinova-Koltunski, Christina Pollkläsener and Vera Demberg	Oral Session 1 (5 talks)  Analysis of discourse and dialogue	1	
43	What's Hard in RST Parsing? Predictive Models for Error Analysis	Yang Janet Liu, Amir Zeldes and Tatsuya Aoyama	Oral Session 1 (5 talks)  Analysis of discourse and dialogue	2	
80	Grounded Complex Task Segmentation for Conversational Assistants	Rafael Ferreira, David Semedo and Joao Magalhaes	Oral Session 1 (5 talks)  Analysis of discourse and dialogue	3	
91	A Statistical Approach for Quantifying Group Difference in Topic Distributions Using Clinical Discourse Samples	Grace Lawley, Peter A. Heeman, Jill K. Dolata, Eric Fombonne and Steven Bedrick	Oral Session 1 (5 talks)  Analysis of discourse and dialogue	4	
106	Leveraging Large Language Models for Automated Dialogue Analysis	Sarah E. Finch, Ellie S. Paek and Jinho D. Choi	Oral Session 2 (4 talks) LLM for dialogue	0	REMOTE
25	Are Large Language Models All You Need for Task-Oriented Dialogue?	Vojtěch Hudeček and Ondrej Dusek	Oral Session 2 (4 talks) LLM for dialogue	1	
109	Multi-party Goal Tracking with LLMs: Comparing Pre-training, Fine-tuning, and Prompt Engineering	Angus Addlesee, Weronika Sieińska, Nancie Gunson, Daniel Hernandez Garcia, Christian Dondrup and Oliver Lemon	Oral Session 2 (4 talks) LLM for dialogue	2	
156	ChatGPT vs. Crowdsourcing vs. Experts: Annotating Open-Domain Conversations with Speech Functions	Lidiia Ostyakova, Veronika Smilga, Kseniia Petukhova, Maria Molchanova and Daniel Kornev	Oral Session 2 (4 talks) LLM for dialogue	3	
79	DiactTOD: Learning Generalizable Latent Dialogue Acts for Controllable Task-Oriented Dialogue Systems	Qingyang Wu, James Gung, Raphael Shu and Yi Zhang	Oral Session 3 (5 talks) Dialogue modeling and evaluation	0	REMOTE
15	Approximating Online Human Evaluation of Social Chatbots with Prompting	Ekaterina Svikhnushina and Pearl Pu	Oral Session 3 (5 talks) Dialogue modeling and evaluation	1	
12	Dialogue Response Generation Using Completion of Omitted Predicate Arguments Based on Zero Anaphora Resolution	Ayaka Ueyama and Yoshinobu Kano	Oral Session 3 (5 talks) Dialogue modeling and evaluation	2	REMOTE
129	Syndicom: Improving Conversational Commonsense with Error-Injection and Natural Language Feedback	Christopher Richardson and Larry Heck	Oral Session 3 (5 talks) Dialogue modeling and evaluation	3	
163	"What do others think?": Task-Oriented Conversational Modeling with Subjective Knowledge	Chao Zhao, Spandana Gella, Seokhwan Kim, Di Jin, Devamanyu Hazarika, Alexandros Papangelis, Behnam Hedayatnia, Mahdi Namazifar, Yang Liu and Dilek Hakkani-Tur	Oral Session 3 (5 talks) Dialogue modeling and evaluation	4	
